Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,CHOLAFIN,35652,FUTSTK,XX,-1,CHOLAMANDALAM IN & FIN CO,CHOLAFIN JUL FUT,CHOLAFIN25JUL24F,2024-07-25,625,0.05
NFO,nse_fo,CIPLA,35657,FUTSTK,XX,-1,CIPLA LTD,CIPLA JUL FUT,CIPLA25JUL24F,2024-07-25,650,0.05
NFO,nse_fo,BANKNIFTY,35658,OPTIDX,PE,47700,BANKNIFTY,BANKNIFTY 5th JUN 47700 PE,BANKNIFTY05JUN24P47700,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35659,OPTIDX,CE,47800,BANKNIFTY,BANKNIFTY 5th JUN 47800 CE,BANKNIFTY05JUN24C47800,2024-06-05,15,0.05
NFO,nse_fo,COALINDIA,35660,FUTSTK,XX,-1,COAL INDIA LTD,COALINDIA JUL FUT,COALINDIA25JUL24F,2024-07-25,2100,0.05
NFO,nse_fo,BANKNIFTY,35662,OPTIDX,PE,47800,BANKNIFTY,BANKNIFTY 5th JUN 47800 PE,BANKNIFTY05JUN24P47800,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35663,OPTIDX,CE,47900,BANKNIFTY,BANKNIFTY 5th JUN 47900 CE,BANKNIFTY05JUN24C47900,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35666,OPTIDX,PE,47900,BANKNIFTY,BANKNIFTY 5th JUN 47900 PE,BANKNIFTY05JUN24P47900,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35667,OPTIDX,CE,48000,BANKNIFTY,BANKNIFTY 5th JUN 48000 CE,BANKNIFTY05JUN24C48000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35668,OPTIDX,PE,48000,BANKNIFTY,BANKNIFTY 5th JUN 48000 PE,BANKNIFTY05JUN24P48000,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35669,OPTIDX,CE,48100,BANKNIFTY,BANKNIFTY 5th JUN 48100 CE,BANKNIFTY05JUN24C48100,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35670,OPTIDX,PE,48100,BANKNIFTY,BANKNIFTY 5th JUN 48100 PE,BANKNIFTY05JUN24P48100,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35671,OPTIDX,CE,48200,BANKNIFTY,BANKNIFTY 5th JUN 48200 CE,BANKNIFTY05JUN24C48200,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35672,OPTIDX,PE,48200,BANKNIFTY,BANKNIFTY 5th JUN 48200 PE,BANKNIFTY05JUN24P48200,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35683,OPTIDX,CE,48300,BANKNIFTY,BANKNIFTY 5th JUN 48300 CE,BANKNIFTY05JUN24C48300,2024-06-05,15,0.05
